Winner;CocksNumber;HensNumber;DogsNumber;FoxesNumber
Zestaw parametrów nr 1
Foxes;0;0;0;1
Foxes;2;0;2;3
Foxes;1;0;1;2
Foxes;0;0;0;2
Foxes;1;0;1;3
Foxes;0;0;1;0
Foxes;1;0;2;1
Henhouse;1;1;1;0
Foxes;1;0;1;1
Henhouse;2;1;2;0
Foxes;0;0;1;3
Foxes;1;0;1;2
Henhouse;1;1;1;0
Henhouse;2;1;2;0
Foxes;2;0;1;1
Foxes;1;0;1;2
Foxes;2;0;2;2
Foxes;0;0;0;3
Foxes;2;0;1;1
Foxes;1;0;0;4
Zestaw parametrów nr 2
Henhouse;2;1;1;0
Henhouse;1;2;1;0
Henhouse;0;1;2;0
Henhouse;2;2;2;0
Henhouse;2;1;2;0
Foxes;0;0;0;2
Foxes;0;0;0;2
Foxes;2;0;2;1
Foxes;1;0;0;1
Foxes;1;0;1;2
Henhouse;2;1;3;0
Henhouse;0;1;1;0
Foxes;2;0;1;3
Henhouse;0;1;1;0
Foxes;0;0;0;1
Foxes;0;0;0;4
Foxes;0;0;0;2
Foxes;0;0;0;3
Foxes;0;0;0;4
Foxes;0;0;1;2
Zestaw parametrów nr 3
Henhouse;2;1;1;0
Foxes;0;0;0;5
Henhouse;2;2;2;0
Henhouse;1;1;1;0
Foxes;0;0;0;3
Foxes;0;0;0;3
Henhouse;2;3;1;0
Henhouse;0;1;0;0
Foxes;1;0;1;3
Foxes;0;0;0;2
Foxes;0;0;0;2
Foxes;0;0;0;1
Henhouse;3;1;1;0
Foxes;0;0;0;2
Foxes;1;0;1;1
Henhouse;0;1;1;0
Foxes;0;0;0;2
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;4
Zestaw parametrów nr 4
Foxes;3;0;1;2
Foxes;0;0;0;3
Foxes;0;0;1;3
Henhouse;0;1;1;0
Foxes;1;0;1;4
Henhouse;2;1;1;0
Foxes;0;0;0;2
Foxes;0;0;0;4
Foxes;0;0;0;2
Henhouse;0;11;0;0
Foxes;0;0;0;3
Foxes;0;0;0;2
Foxes;2;0;2;3
Foxes;0;0;0;4
Henhouse;1;2;1;0
Foxes;0;0;0;4
Foxes;0;0;0;1
Foxes;0;0;0;3
Foxes;2;0;2;2
Foxes;0;0;0;3
Zestaw parametrów nr 5
Henhouse;1;2;2;0
Foxes;0;0;0;3
Henhouse;0;2;0;0
Henhouse;1;1;1;0
Foxes;1;0;0;1
Henhouse;2;3;1;0
Foxes;0;0;0;3
Henhouse;2;3;1;0
Henhouse;1;6;1;0
Henhouse;0;2;1;0
Henhouse;2;1;1;0
Foxes;0;0;0;2
Foxes;0;0;0;2
Henhouse;2;4;2;0
Henhouse;0;8;2;0
Foxes;1;0;1;5
Henhouse;2;2;0;0
Foxes;0;0;0;2
Henhouse;3;2;1;0
Foxes;1;0;2;5
Zestaw parametrów nr 6
Foxes;0;0;0;3
Foxes;0;0;0;2
Henhouse;1;5;2;0
Henhouse;2;8;1;0
Foxes;0;0;0;3
Foxes;0;0;1;1
Foxes;0;0;0;4
Henhouse;1;3;1;0
Foxes;0;0;0;3
Foxes;1;0;0;3
Foxes;0;0;0;4
Foxes;0;0;0;3
Foxes;0;0;0;2
Henhouse;2;2;2;0
Foxes;0;0;0;5
Foxes;0;0;0;4
Henhouse;2;3;1;0
Foxes;0;0;0;4
Foxes;0;0;1;3
Henhouse;2;3;0;0
Zestaw parametrów nr 7
Foxes;0;0;0;1
Foxes;0;0;0;4
Foxes;0;0;0;3
Foxes;0;0;0;4
Henhouse;2;3;2;0
Foxes;0;0;0;5
Foxes;0;0;0;3
Foxes;1;0;1;4
Henhouse;3;5;2;0
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;4
Foxes;0;0;0;4
Henhouse;2;5;3;0
Henhouse;0;5;1;0
Henhouse;0;3;0;0
Henhouse;1;1;1;0
Foxes;0;0;0;2
Foxes;0;0;0;4
Foxes;0;0;0;4
Zestaw parametrów nr 8
Foxes;0;0;0;4
Foxes;3;0;2;5
Foxes;0;0;1;3
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;2
Foxes;0;0;0;7
Foxes;0;0;0;3
Foxes;0;0;0;1
Foxes;0;0;0;3
Foxes;0;0;0;2
Foxes;0;0;0;4
Foxes;0;0;0;3
Foxes;1;0;1;1
Foxes;0;0;0;6
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;5
Foxes;0;0;0;4
Foxes;0;0;0;4
Zestaw parametrów nr 9
Foxes;0;0;0;7
Foxes;0;0;0;4
Foxes;0;0;0;3
Foxes;0;0;0;6
Foxes;0;0;0;5
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;7
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;5
Foxes;0;0;0;1
Foxes;0;0;0;7
Foxes;0;0;0;3
Foxes;0;0;0;6
Foxes;0;0;0;5
Foxes;0;0;0;5
Foxes;0;0;0;7
Foxes;0;0;0;3
Zestaw parametrów nr 10
Foxes;0;0;0;5
Henhouse;0;4;1;0
Foxes;0;0;0;3
Foxes;0;0;0;4
Henhouse;0;4;1;0
Foxes;0;0;0;7
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;5
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;6
Foxes;0;0;0;7
Foxes;0;0;0;3
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;3
Foxes;0;0;0;5
Foxes;0;0;0;5
Foxes;0;0;0;5
Zestaw parametrów nr 11
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;3
Henhouse;0;4;1;0
Foxes;0;0;0;5
Foxes;0;0;0;3
Foxes;0;0;0;3
Foxes;0;0;0;5
Foxes;0;0;0;4
Foxes;0;0;0;5
Foxes;0;0;0;8
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;6
Foxes;0;0;0;5
Foxes;0;0;0;4
Foxes;0;0;0;5
Foxes;0;0;0;4
Henhouse;3;6;1;0
Zestaw parametrów nr 12
Foxes;0;0;0;4
Foxes;0;0;0;5
Foxes;0;0;0;6
Foxes;0;0;0;4
Foxes;0;0;0;4
Foxes;0;0;0;6
Foxes;0;0;0;2
Foxes;0;0;0;5
Foxes;0;0;0;3
Foxes;0;0;0;5
Foxes;0;0;0;7
Foxes;0;0;0;5
Foxes;0;0;0;7
Foxes;0;0;0;5
Foxes;0;0;0;6
Henhouse;3;10;0;0
Foxes;0;0;0;3
Foxes;0;0;0;4
Foxes;0;0;0;5
Henhouse;1;7;1;0
Zestaw parametrów nr 13
Foxes;0;0;0;3
Foxes;0;0;0;4
Foxes;0;0;0;6
Foxes;0;0;0;8
Henhouse;3;10;2;0
Foxes;0;0;0;6
Foxes;0;0;0;3
Foxes;0;0;0;6
Foxes;0;0;0;7
Foxes;0;0;0;8
Foxes;0;0;0;5
Foxes;0;0;0;9
Foxes;0;0;0;4
Foxes;0;0;0;7
Foxes;0;0;0;4
Foxes;0;0;0;8
Foxes;0;0;0;9
Foxes;0;0;0;5
Foxes;0;0;0;6
Foxes;0;0;0;7
Zestaw parametrów nr 14
Henhouse;1;6;2;0
Foxes;0;0;0;6
Foxes;0;0;0;7
Foxes;0;0;0;8
Henhouse;1;10;1;0
Foxes;0;0;0;7
Foxes;0;0;0;7
Foxes;0;0;0;8
Foxes;0;0;0;6
Henhouse;3;10;3;0
Foxes;0;0;0;9
Foxes;0;0;0;6
Henhouse;3;10;1;0
Foxes;0;0;0;7
Henhouse;3;8;1;0
Foxes;0;0;0;5
Foxes;0;0;0;6
Henhouse;2;6;1;0
Foxes;0;0;0;7
Foxes;0;0;0;7
Zestaw parametrów nr 15
Foxes;0;0;0;8
Foxes;0;0;0;7
Foxes;0;0;0;5
Foxes;0;0;0;5
Foxes;0;0;0;9
